"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100n","","","","",""
"C2","1","10u","","","","",""
"C_cm1,C_cm2,C_cm3,C_cm4","4","10nF","","","","",""
"C_diff1,C_diff2","2","100nF","","","","",""
"J1,J2,J3","3","AudioJack3","","","","",""
"R1,R2,R3,R4,R5,R6","6","100k 0.1%","","","","",""
"R_filt1,R_filt2,R_filt3,R_filt4","4","1k 1%","","","","",""
"R_pu1","1","4.7k 5%","","","","",""
"TH1,TH2","2","100k","","","","",""
"U1","1","ADS1115IDGS","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"U2","1","Pico","","","","RPi_Pico:RPi_Pico_SMD_TH",""
